Voltage [V]	Capacity [-]	dQ/dV [V/Ah]
2.384200	0.799666	0.228868
2.384800	0.800549	0.226903
2.385400	0.801432	0.220512
2.386000	0.802347	0.215813
2.386700	0.803231	0.212817
2.387300	0.804114	0.211760
2.387900	0.804997	0.209807
2.388500	0.805912	0.204256
2.389100	0.806796	0.197237
2.389500	0.807679	0.192056
2.390100	0.808594	0.187587
2.390700	0.809477	0.186065
2.391300	0.810361	0.182287
2.391700	0.811244	0.179059
2.392300	0.812159	0.177244
2.392700	0.813042	0.175064
2.393100	0.813926	0.171801
2.393700	0.814841	0.168423
2.394100	0.815724	0.163168
2.394500	0.816607	0.158730
2.395200	0.817491	0.152147
2.395600	0.818406	0.149162
